No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
33,Sione Vaki,23,RB,16,0,216,5-11,Utah,7/30/2001,Rook,1,Detroit Lions / 4th / 132nd pick / 2024,VakiSi00
29,Kindle Vildor,27,CB,17,2,189,5-11,Georgia Southern,12/11/1997,4,2,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
83,Isaiah Williams,23,WR,2,0,185,5-10,Illinois,1/29/2001,Rook,0,,WillIs03
9,Jameson Williams,23,WR,15,11,182,6-1,Ohio St.Alabama,3/26/2001,2,11,Detroit Lions / 1st / 12th pick / 2022,WillJa11
,Jonah Williams,29,DL,2,1,275,6-5,Weber St.,8/17/1995,3,1,,WillJo16
94,Mekhi Wingo,21,DL,11,0,288,6-0,MissouriLSU,4/17/2003,Rook,1,Detroit Lions / 6th / 189th pick / 2024,WingMe00
89,Brock Wright,26,TE,17,8,254,6-5,Notre Dame,11/27/1998,3,1,,WrigBr01
71,Kevin Zeitler,34,RG,16,16,332,6-4,Wisconsin,3/8/1990,12,8,Cincinnati Bengals / 1st / 27th pick / 2012,ZeitKe00
84,Shane Zylstra,28,TE,12,1,244,6-4,Minnesota St.,11/16/1996,3,0,,ZylsSh00
,Team Total,26.6,,17,,245.9,6-1.9,,,3.7,,,-9999
