No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
69,Chris Reed,32,G,1,0,314,6-3,Minnesota St.,7/22/1992,8,0,,ReedCh00
95,John Ridgeway,25,DT,13,0,321,6-5,Illinois St.Arkansas,5/7/1999,2,1,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
51,Cesar Ruiz,25,RG,13,13,316,6-4,Michigan,6/14/1999,4,5,New Orleans Saints / 1st / 24th pick / 2020,RuizCe00
64,Nick Saldiveri,24,OL,11,6,316,6-6,Old Dominion,8/14/2000,1,3,New Orleans Saints / 4th / 103rd pick / 2023,SaldNi00
50,Khalen Saunders,28,LDT,13,10,324,6-0,Western Illinois,8/9/1996,5,5,Kansas City Chiefs / 3rd / 84th pick / 2019,SaunKh00
45,Nephi Sewell,26,LB,7,1,228,6-0,NevadaUtah,12/19/1998,2,1,,SeweNe00
22,Rashid Shaheed,26,WR,6,5,180,6-0,Weber St.,8/31/1998,2,4,,ShahRa00
93,Nathan Shepherd,31,RDT,16,13,315,6-4,Fort Hays St.,10/9/1993,6,6,New York Jets / 3rd / 72nd pick / 2018,ShepNa00
13,Equanimeous St. Brown,28,WR,2,0,214,6-5,Notre Dame,9/30/1996,6,0,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00
44,Isaiah Stalbird,24,LB,5,0,215,6-1,NebraskaSouth Dakota St.,7/18/2000,Rook,0,,StalIs00
1,Alontae Taylor,26,LCB,17,15,199,6-0,Tennessee,12/3/1998,2,5,New Orleans Saints / 2nd / 49th pick / 2022,TaylAl01
30,Roderic Teamer,27,S,2,0,205,6-0,Tulane,5/12/1997,5,0,,TeamRo00
84,Mason Tipton,24,WR,11,1,187,5-11,Yale,9/27/2000,Rook,1,,TiptMa00
98,Payton Turner,25,DE,16,0,270,6-6,Houston,1/7/1999,3,1,New Orleans Saints / 1st / 28th pick / 2021,TurnPa02
74,Oli Udoh,27,OL,14,1,320,6-6,Elon,2/14/1997,5,1,Minnesota Vikings / 6th / 193rd pick / 2019,UdohOl01
,Marquez Valdes-Scantling,30,WR,8,8,206,6-4,North Carolina St.South Florida,10/10/1994,6,3,Green Bay Packers / 5th / 174th pick / 2018,ValdMa00
91,Kendal Vickers,29,DT,1,0,295,6-3,Tennessee,5/23/1995,4,0,,VickKe00
20,Pete Werner,25,LLB,13,13,242,6-3,Ohio St.,6/5/1999,3,6,New Orleans Saints / 2nd / 60th pick / 2021,WernPe00
21,Jamaal Williams,29,RB,14,1,224,6-0,BYU,4/3/1995,7,1,Green Bay Packers / 4th / 134th pick / 2017,WillJa06
11,Cedrick Wilson Jr.,29,WR,15,4,197,6-2,Boise St.,11/20/1995,5,2,Dallas Cowboys / 6th / 208th pick / 2018,WilsCe01
49,Zach Wood,31,LS,17,0,255,6-3,SMU,1/10/1993,7,1,,WoodZa00
,Chase Young,25,DE,17,0,265,6-5,Ohio St.,4/14/1999,4,2,Washington Football Team / 1st / 2nd pick / 2020,YounCh04
67,Landon Young,27,T,17,5,321,6-7,Kentucky,8/21/1997,3,3,New Orleans Saints / 6th / 206th pick / 2021,YounLa00
,Team Total,26.8,,17,,240.4,6-1.7,,,3.6,,,-9999
