No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
34,Nick Muse,26,TE,4,0,252,6-5,William & MarySouth Carolina,11/25/1998,2,0,Minnesota Vikings / 7th / 227th pick / 2022,MuseNi00
83,Jalen Nailor,25,WR,17,7,199,5-11,Michigan St.,3/2/1999,2,4,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
75,Brian O'Neill,29,RT,17,17,310,6-7,Pittsburgh,9/15/1995,6,12,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
84,Josh Oliver,27,TE,15,12,264,6-5,San Jose St.,3/21/1997,5,2,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
0,Ivan Pace,24,LILB,11,10,236,5-10,Miami (OH)Cincinnati,12/16/2000,1,6,,PaceIv00
97,Harrison Phillips,28,NT,17,17,307,6-3,Stanford,1/25/1996,6,8,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
4,Brandon Powell,29,WR,17,1,181,5-8,Florida,9/12/1995,6,1,,PoweBr00
76,David Quessenberry,34,T,17,0,310,6-5,San Jose St.,8/24/1990,7,1,Houston Texans / 6th / 176th pick / 2013,QuesDa00
61,Jalen Redmond,25,DL,13,2,305,6-3,Oklahoma,3/12/1999,1,2,,RedmJa01
16,Will Reichard,23,K,13,0,190,6-1,Alabama,1/9/2001,Rook,2,Minnesota Vikings / 6th / 203rd pick / 2024,ReicWi00
98,Bo Richter,24,OLB,14,0,248,6-1,Air Force,8/13/2000,Rook,1,,RichBo01
66,Dalton Risner,29,G,10,8,312,6-5,Kansas St.,7/13/1995,5,4,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
,Cam Robinson,29,LT,10,10,335,6-6,Alabama,10/9/1995,7,5,Jacksonville Jaguars / 2nd / 34th pick / 2017,RobiCa00
50,Levi Drake Rodriguez,24,DL,2,0,307,6-2,Southwestern Assemblies of GodTexas A&M-Commerce,8/4/2000,Rook,0,Minnesota Vikings / 7th / 232nd pick / 2024,RodrLe00
,John Parker Romo,27,K,4,0,190,5-11,Central ArkansasTulsaVirginia Tech,8/27/1997,1,1,,RomoJo00
78,Walter Rouse,23,T,1,0,330,6-6,StanfordOklahoma,3/9/2001,Rook,0,Minnesota Vikings / 6th / 177th pick / 2024,RousWa00
11,Trent Sherfield,28,WR,17,1,205,6-1,Vanderbilt,2/25/1996,6,1,,SherTr00
22,Harrison Smith,35,SS,16,16,211,6-2,Notre Dame,2/2/1989,12,7,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
94,Taki Taimani,25,DL,7,0,324,6-1,WashingtonOregon,10/6/1999,Rook,1,,TaimTa00
99,Jerry Tillery,28,LDE,17,11,295,6-6,Notre Dame,10/8/1996,5,6,Los Angeles Chargers / 1st / 28th pick / 2019,TillJe00
,Robert Tonyan,30,TE,5,0,240,6-5,Indiana St.,4/30/1994,6,0,,TonyRo00
15,Dallas Turner,21,OLB,16,0,247,6-3,Alabama,2/2/2003,Rook,2,Minnesota Vikings / 1st / 17th pick / 2024,TurnDa01
43,Andrew Van Ginkel,29,RLB,17,17,242,6-4,Wisconsin,7/1/1995,5,16,Miami Dolphins / 5th / 151st pick / 2019,VanGAn00
20,Jay Ward,24,S,16,0,190,6-1,LSU,7/13/2000,1,1,Minnesota Vikings / 4th / 134th pick / 2023,WardJa00
52,Jihad Ward,30,OLB,17,2,285,6-5,Illinois,5/11/1994,8,2,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
92,Jonah Williams,29,DL,1,0,275,6-5,Weber St.,8/17/1995,3,0,,WillJo16
25,Nahshon Wright,26,CB,1,0,199,6-4,LaneyOregon St.,9/23/1998,3,0,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00
17,Ryan Wright,24,P,17,0,245,6-3,Tulane,6/1/2000,2,2,,WrigRy00
,Team Total,27.3,,17,,243.9,6-2.0,,,4.2,,,-9999
