No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
79,Bernhard Raimann,26,T,15,15,303,6-6,Central Michigan,9/23/1997,1,7,Indianapolis Colts / 3rd / 77th pick / 2022,RaimBe00
46,Luke Rhodes,31,LS,17,0,238,6-2,William & Mary,12/2/1992,7,1,,RhodLu00
5,Anthony Richardson,21,QB,4,4,244,6-4,Florida,5/22/2002,Rook,3,Indianapolis Colts / 1st / 4th pick / 2023,RichAn03
3,Amari Rodgers,24,WR,3,0,212,5-9,Clemson,9/23/1999,2,0,Green Bay Packers / 3rd / 85th pick / 2021,RodgAm00
8,Rigoberto Sanchez,29,P,17,0,195,6-0,Hawaii,9/8/1994,6,2,,SancRi00
27,Trey Sermon,24,RB,14,0,215,6-0,OklahomaOhio St.,1/30/1999,2,1,San Francisco 49ers / 3rd / 88th pick / 2021,SermTr00
65,Josh Sills,25,G,17,0,325,6-6,West VirginiaOklahoma St.,1/26/1998,1,1,,SillJo00
72,Braden Smith,27,T,10,10,312,6-6,Auburn,3/25/1996,5,5,Indianapolis Colts / 2nd / 37th pick / 2018,SmitBr06
37,Ameer Speed,24,CB,8,0,215,6-3,GeorgiaMichigan St.,10/11/1999,Rook,0,New England Patriots / 6th / 214th pick / 2023,SpeeAm00
45,E.J. Speed,28,LB,16,11,227,6-4,Tarleton St.,6/1/1995,4,5,Indianapolis Colts / 5th / 164th pick / 2019,SpeeEJ00
90,Grover Stewart,30,DT,11,11,314,6-4,Albany State (GA),10/20/1993,6,4,Indianapolis Colts / 4th / 144th pick / 2017,StewGr00
41,Grant Stuard,25,LB,17,0,225,5-11,Houston,10/15/1998,2,1,Tampa Bay Buccaneers / 7th / 259th pick / 2021,StuaGr00
28,Jonathan Taylor,24,RB,10,7,226,5-10,Wisconsin,1/19/1999,3,6,Indianapolis Colts / 2nd / 41st pick / 2020,TaylJo02
25,Rodney Thomas II,25,S,17,15,196,6-1,Yale,6/26/1998,1,5,Indianapolis Colts / 7th / 239th pick / 2022,ThomRo07
9,Juwann Winfree,27,WR,8,1,210,6-1,Colorado,9/4/1996,4,0,Denver Broncos / 6th / 187th pick / 2019,WinfJu00
,Team Total,25.7,,17,,241.7,6-1.9,,,2.6,,,-9999
