No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
95,Romeo Okwara,28,DL,16,0,255,6-4,Notre Dame,6/17/1995,7,1,,OkwaRo01
91,Levi Onwuzurike,25,DL,10,0,304,6-3,Washington,3/2/1998,2,1,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00
33,Devine Ozigbo,27,RB,3,0,225,6-0,Nebraska,10/2/1996,4,0,,OzigDe01
93,Josh Paschal,24,DL,12,4,275,6-3,Kentucky,12/17/1999,1,2,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
36,Riley Patterson,24,K,13,0,190,6-0,Memphis,9/7/1999,2,2,,PattRi01
19,Donovan Peoples-Jones,24,WR,8,1,204,6-2,Michigan,2/19/1999,3,1,Cleveland Browns / 6th / 187th pick / 2020,PeopDo00
57,Anthony Pittman,27,LB,17,0,236,6-3,Wayne State (MI),11/24/1996,4,1,,PittAn01
77,Frank Ragnow,27,C,15,15,310,6-5,Arkansas,5/17/1996,5,11,Detroit Lions / 1st / 20th pick / 2018,RagnFr00
11,Kalif Raymond,29,WR,17,3,180,5-8,Holy Cross,8/8/1994,7,5,,RaymKa00
42,Jalen Reeves-Maybin,28,LB,17,0,226,6-1,Tennessee,1/31/1995,6,6,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
13,Craig Reynolds,27,RB,17,0,216,5-11,Kutztown (PA),6/15/1996,4,2,,ReynCr00
8,Josh Reynolds,28,WR,17,13,192,6-3,Texas A&M,2/16/1995,6,6,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00
44,Malcolm Rodriguez,24,LB,17,3,230,5-11,Oklahoma St.,3/29/1999,1,2,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
71,Michael Schofield,33,G,0,0,301,6-6,Michigan,11/15/1990,8,0,Denver Broncos / 3rd / 95th pick / 2014,SchoMi00
58,Penei Sewell,23,T,17,17,335,6-5,Oregon,10/9/2000,2,17,Detroit Lions / 1st / 7th pick / 2021,SewePe00
70,Dan Skipper,29,T,11,1,334,6-9,Arkansas,9/20/1994,6,1,,SkipDa00
75,Colby Sorsdal,23,OL,16,3,315,6-6,William & Mary,3/1/2000,Rook,2,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00
14,Amon-Ra St. Brown,24,WR,16,16,202,6-0,USC,10/24/1999,2,15,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
1,Cameron Sutton,28,CB,17,17,188,5-11,Tennessee,2/27/1995,6,5,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00
72,Halapoulivaati Vaitai,30,G,6,3,322,6-6,TCU,6/16/1993,7,2,Philadelphia Eagles / 5th / 164th pick / 2016,VaitHa00
29,Kindle Vildor,26,CB,5,2,189,5-11,Georgia Southern,12/11/1997,3,1,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
21,Tracy Walker,28,SS,17,6,206,6-1,Louisiana,2/1/1995,5,2,Detroit Lions / 3rd / 82nd pick / 2018,WalkTr01
9,Jameson Williams,22,WR,12,10,182,6-1,Ohio St.Alabama,3/26/2001,1,4,Detroit Lions / 1st / 12th pick / 2022,WillJa11
89,Brock Wright,25,TE,14,4,254,6-5,Notre Dame,11/27/1998,2,1,,WrigBr01
,Team Total,26.4,,17,,246.0,6-2.1,,,3.5,,,-9999
